,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,BBC News,Biden and Harris named Time's Person of the Year,"The US president-elect and his running mate beat three other finalists, including Donald Trump.",http://www.bbc.co.uk/news/world-us-canada-55270322,https://ichef.bbci.co.uk/news/1024/branded_news/12F51/production/_115994677_289e3492-28a3-4376-a8bb-8c63d30b7c4f.jpg,2020-12-11T04:52:20.2619101Z,"US President-elect Joe Biden and his running mate Kamala Harris have been chosen as Time magazine's Person of the Year in 2020.
""The Biden-Harris ticket represents something historic,"" 
Time tweete… [+959 chars]",bbc-news,BBC News
1,BBC News,Viola Davis on Chadwick Boseman's last performance,"Oscar-winner, Davis, stars alongside Boseman in the highly anticipated Ma Rainey's Black Bottom.",http://www.bbc.co.uk/news/entertainment-arts-55253448,https://ichef.bbci.co.uk/images/ic/400xn/p09125q9.jpg,2020-12-11T02:37:20.1868522Z,"Ma Raineys Black Bottom is one of the most anticipated films of the year and hotly tipped for Oscars success.
Adapted from a cycle of plays by the Pulitzer Prize-winning playwright, August Wilson, w… [+327 chars]",bbc-news,BBC News
2,BBC News,Climate change: Covid drives record emissions drop in 2020,"The world has seen the biggest annual fall in CO2 emissions since World War Two, say researchers.",http://www.bbc.co.uk/news/science-environment-55261902,https://ichef.bbci.co.uk/news/1024/branded_news/175C8/production/_115988659_oxfordstreetpa.jpg,2020-12-11T02:22:21.5676386Z,"image captionThe use of cars fell dramatically during the two national lockdowns observed in the UK
The global response to the Covid-19 pandemic has driven the biggest annual fall in CO2 emissions s… [+4521 chars]",bbc-news,BBC News
3,BBC News,Disney ramps up Star Wars and Marvel franchises,The move marks another industry shift away from cinema to streaming.,http://www.bbc.co.uk/news/technology-55269531,https://www.bbc.co.uk/news/special/2015/newsspec_10857/bbc_news_logo.png?cb=1,2020-12-11T01:07:16.5016909Z,"image copyrightDisney/Lucasfilm
Disney has unveiled plans for a major expansion of its Star Wars and Marvel franchises on its Disney+ subscription streaming service.
The company said that ""a number… [+2104 chars]",bbc-news,BBC News
4,BBC News,Can mapping the Great Barrier Reef help it survive?,Volunteers have been asked to take and categorise thousands of photos of the Great Barrier Reef.,http://www.bbc.co.uk/news/world-australia-55246547,https://ichef.bbci.co.uk/images/ic/400xn/p090xj6h.jpg,2020-12-11T00:52:23.7997387Z,"After three recent mass bleaching events, the future of Australia's Great Barrier Reef is in the balance - with a senior scientist saying that it's ""calling for urgent help"". 
But now scientists and… [+665 chars]",bbc-news,BBC News
5,BBC News,Covid vaccine: US experts recommend Pfizer vaccine approval,A panel of advisers to the US Food and Drug Administration deem the vaccine safe and effective.,http://www.bbc.co.uk/news/world-us-canada-55265477,https://ichef.bbci.co.uk/news/1024/branded_news/40E1/production/_115990661_tv064724593.jpg,2020-12-10T22:52:20.7045317Z,"media captionUS Covid vaccine: Three key questions answered
Medical experts advising the US Food and Drug Administration (FDA) have recommended emergency approval for the Pfizer-BioNTech coronavirus… [+1863 chars]",bbc-news,BBC News
6,BBC News,Coronavirus: Trump hosts Hanukkah events as Covid-19 deaths soar,"The White House events were held as coronavirus-related fatalities rose to 3,053 - a record daily US high.",http://www.bbc.co.uk/news/world-us-canada-55265441,https://ichef.bbci.co.uk/news/1024/branded_news/5EAF/production/_115993242_gettyimages-1229999085.jpg,2020-12-10T22:22:22.3098803Z,"image copyrightGetty Images
image captionPresident Trump is reportedly hosting 25 events at the White House over the holidays
US President Donald Trump has hosted two Hanukkah events at the White H… [+1470 chars]",bbc-news,BBC News
7,BBC News,Casey Goodson: Family demand answers after police shooting,"Mr Goodson, 23, was shot dead as he returned home from a dentist's appointment, his family said.",http://www.bbc.co.uk/news/world-us-canada-55267260,https://ichef.bbci.co.uk/news/1024/branded_news/A365/production/_115992814_caseygoodsonii.jpg,2020-12-10T22:07:21.8637114Z,"By Holly HonderichBBC News, Washington
image copyrightThe Family of Casey Goodson Jr.
The family of a black man fatally shot outside his Ohio home has demanded answers, claiming he was killed for b… [+4209 chars]",bbc-news,BBC News
8,BBC News,Brexit: 'Strong possibility' of no trade deal with EU - PM,"Boris Johnson says negotiations with the EU will continue, but are ""not yet there at all"".",http://www.bbc.co.uk/news/uk-politics-55266678,https://ichef.bbci.co.uk/news/1024/branded_news/3213/production/_115991821_mediaitem115991820.jpg,2020-12-10T18:22:23.621402Z,"Boris Johnson says there is a ""strong possibility"" the UK will fail to strike a post-Brexit trade agreement with the EU.
The prime minister said ""now is the time"" for businesses and the public to pr… [+1053 chars]",bbc-news,BBC News
9,BBC News,Brandon Bernard: First execution of Trump's final days to go ahead,Brandon Bernard is set for federal execution in Indiana despite pleas from Kim Kardashian and others.,http://www.bbc.co.uk/news/world-us-canada-55261224,https://ichef.bbci.co.uk/news/1024/branded_news/E157/production/_115978675_brandon-july-2015.jpg,2020-12-10T16:52:22.0109568Z,"image copyrightCourtesy Bernard Defense Team 
image captionCampaigners are seeking to prevent Brandon Bernard's execution
The federal execution of a death row inmate is set to go ahead on Thursday,… [+3635 chars]",bbc-news,BBC News
0,Adrienne So,Apple's HomePod Mini Falls Short As a Smart Speaker,"Apple’s small spherical speaker is a convenient satellite for Siri-loving Apple users, but it doesn't score many points beyond that.",https://www.wired.com/review/apple-homepod-mini/,"https://media.wired.com/photos/5fcfd66fceb074386788077e/191:100/w_1280,c_limit/Gear-HomePod_mini-hero-white-BLUE.jpg",2020-12-10T12:00:00Z,"I was ridiculously excited to review the HomePod mini, Apples latest small smart speaker. I pestered my colleagues about it for weeks, in a completely nonchalant and not-at-all annoying way. Just lik… [+3437 chars]",wired,Wired
1,Nick Summers,"Apple and Google clamp down on X-Mode, a location-tracking data broker","Apple and Google have reportedly ordered app developers to sever ties with X-Mode Social Inc., a data broker that specializes in location tracking. As the Wall Street Journal reports, the company has supplied data to US government contractors working on natio…",https://www.engadget.com/apple-google-x-mode-android-ios-developer-removal-order-114539888.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F42418c60-3ad1-11eb-9ff5-d277bab61186&client=amp-blogside-v2&signature=d117634d726780ef0f9967fc480745f744421eef,2020-12-10T11:45:39Z,"Apple and Google have reportedly ordered app developers to sever ties with X-Mode Social Inc., a data broker that specializes in location tracking. As the Wall Street Journal reports, the company has… [+1077 chars]",engadget,Engadget
2,David Murphy,How to Get Apple's AirPods Max a Month Earlier,"The Apple passion is strong. There was once a time when I, too, would clamor for many of the items the company makes—even going so far as to camp out for hours in line for a brand-new iPhone. Say what you will about Apple’s just-announced luxury AirPods Max, …",https://lifehacker.com/how-to-get-apples-airpods-max-a-month-earlier-1845844861,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/mszwbimcfvbrpdjhesmp.jpg",2020-12-10T15:45:00Z,"The Apple passion is strong. There was once a time when I, too, would clamor for many of the items the company makeseven going so far as to camp out for hours in line for a brand-new iPhone. Say what… [+2428 chars]",,Lifehacker.com
3,Andrew Liszewski,"We're Finally Starting to See Some Great MagSafe Accessories, but They're Not Coming from Apple","One of the more interesting features of the new iPhone 12 lineup is the return of the MagSafe power connector. It doesn’t only make wireless charging easier, as Apple demonstrated with a $60 wallet, it can also expand the usefulness of the device that’s alway…",https://gizmodo.com/were-finally-starting-to-see-some-great-magsafe-accesso-1845851205,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/rcgnmabprgosoxyjwc1m.gif",2020-12-10T19:40:00Z,"One of the more interesting features of the new iPhone 12 lineup is the return of the MagSafe power connector. It doesnt only make wireless charging easier, as Apple demonstrated with a $60 wallet, i… [+2764 chars]",,Gizmodo.com
4,Samuel Axon,Ex-Apple employees say company ignored China labor-law violations,"A dispatch-worker law led to studies, debate within Apple—but not enough action.",https://arstechnica.com/gadgets/2020/12/ex-apple-employees-say-company-ignored-china-labor-law-violations/,https://cdn.arstechnica.net/wp-content/uploads/2018/03/Apple_Pegatron_03072018-760x380.jpg,2020-12-10T20:52:23Z,"Enlarge/ An iPhone assembly worker works with Apple supplier Pegatron in an image distributed by Apple.
8 with 8 posters participating
A new report in The Information cites both former Apple employ… [+5661 chars]",ars-technica,Ars Technica
5,Juli Clover,Redesigned Apple Maps Expands to Canada,"Apple's redesigned Maps app is now available in Canada following a test of the feature that kicked off back in October. The Canadian expansion comes 11 months after Apple finished the rollout of the revamped Maps app in the United States.



Image via Justin …",https://www.macrumors.com/2020/12/10/redesigned-apple-maps-expands-to-canada/,https://images.macrumors.com/t/LQa37TgdNNSDpKQtuuLlL6kAZDw=/1600x/https://images.macrumors.com/article-new/2020/10/canadaapplemaps.jpg,2020-12-10T18:29:09Z,Apple's redesigned Maps app is now available in Canada following a test of the feature that kicked off back in October. The Canadian expansion comes 11 months after Apple finished the rollout of the … [+2101 chars],,MacRumors
6,Juli Clover,Apple Shares Trailer for 'Servant' Season 2 Ahead of January 15 Premiere,"Apple today shared the full trailer for the second season of ""Servant,"" which will be released on Apple TV+ on Friday, January 15. The first season of the show was popular with ‌Apple TV+‌ subscribers, and Apple renewed Servant shortly after it launched.



…",https://www.macrumors.com/2020/12/10/apple-shares-servant-season-2-trailer/,https://images.macrumors.com/t/R8v72lW0Hea4zZfIxVuPT7Q6D5U=/1600x/https://images.macrumors.com/article-new/2020/10/maxresdefault-3.jpg,2020-12-10T17:12:55Z,"Apple today shared the full trailer for the second season of ""Servant,"" which will be released on Apple TV+ on Friday, January 15. The first season of the show was popular with ‌Apple TV+‌ subscriber… [+594 chars]",,MacRumors
7,Juli Clover,Disney+ Hits 86.8 Million Subscribers 13 Months After Launching,"Disney today announced that streaming service Disney+ has hit 86.8 million subscribers, a milestone that it has reached 13 months after launching. Disney+ has gained well over 10 million subscribers since November, when the service had 73.7 million subscriber…",https://www.macrumors.com/2020/12/10/disney-plus-86-8-million-subscribers/,https://images.macrumors.com/t/pnUUnLEtz6et5cfjG1ag2Y041Pw=/1600x/https://images.macrumors.com/article-new/2019/11/disney-ios.jpg,2020-12-10T21:58:27Z,"Disney today announced that streaming service Disney+ has hit 86.8 million subscribers, a milestone that it has reached 13 months after launching. Disney+ has gained well over 10 million subscribers … [+1077 chars]",,MacRumors
8,Jae Thomas,The Samsung Galaxy Tab S6 Lite is 50% off,"SAVE $175: Snag a Samsung Galaxy Tab S6 Lite for the low price of $174.99 at Samsung as of Dec. 10.

Looking for a solid non-Apple tablet to gift this holiday season? Look no further than the Samsung Galaxy Tab S6 Lite, a cheaper, more budget-friendly version…",https://mashable.com/shopping/dec-10-samsung-galaxy-tab-s6-lite-deal/,https://mondrian.mashable.com/2020%252F12%252F10%252F50%252F56e6bbfdb7b34b6bb4bf35ff74a90d40.fcc58.png%252F1200x630.png?signature=45LsVSBlJcATK3A5dv2FEuf-3wI=,2020-12-10T15:33:09Z,"SAVE $175: Snag a Samsung Galaxy Tab S6 Lite for the low price of $174.99 at Samsung as of Dec. 10.
Looking for a solid non-Apple tablet to gift this holiday season? Look no further than the Samsung… [+1460 chars]",mashable,Mashable
9,Juli Clover,"Apple Retiring 'Music Memos' App, Encourages Users to Transition to Voice Memos","Apple is planning to retire its Music Memos app, which was first released in 2016 as an app designed to allow musicians and songwriters to capture song ideas on the fly. Since its launch, the app received few updates from Apple, and going forward, the app wil…",https://www.macrumors.com/2020/12/10/apple-retiring-music-memos-app/,https://images.macrumors.com/t/mcJTQuIhSfY8AIcsfYnL0j-TUww=/1600x/https://images.macrumors.com/article-new/2020/12/music-memos-retiring.jpg,2020-12-10T19:20:19Z,"Apple is planning to retire its Music Memos app, which was first released in 2016 as an app designed to allow musicians and songwriters to capture song ideas on the fly. Since its launch, the app rec… [+1006 chars]",,MacRumors
10,Alex Wilhelm,Do the celebrities help the startups or do the startups help the celebrities?,"Hello and welcome back to Equity, TechCrunch’s venture capital-focused podcast (now on Twitter!), where we unpack the numbers behind the headlines. What a week, yeah? Instead of the news cycle slowing as the year races to a close, things are still as hot as e…",http://techcrunch.com/2020/12/10/do-the-celebrities-help-the-startups-or-do-the-startups-help-the-celebrities/,https://techcrunch.com/wp-content/uploads/2019/12/equity-podcast-2019-phone-1-2-e1576159337785.jpg?w=300,2020-12-10T20:02:48Z,"Hello and welcome back to Equity, TechCrunchs venture capital-focused podcast (now on Twitter!), where we unpack the numbers behind the headlines.
What a week, yeah? Instead of the news cycle slowin… [+482 chars]",techcrunch,TechCrunch
11,Dave Johnson,This pulse oximeter fingertip sensor measures your SpO2 in seconds for $13 - CNET,You don't need an Apple Watch Series 6 -- this gadget can measure your blood oxygen saturation levels cheaply.,https://www.cnet.com/health/this-pulse-oximeter-fingertip-sensor-measures-your-spo2-in-seconds-for-13/,https://cnet4.cbsistatic.com/img/jdOptO_GUCXrCTFYiyaP9I_vP1g=/1200x630/2020/12/10/0bafcb82-bd1d-4c15-a50b-9d6dbca0c223/ox.jpg,2020-12-10T22:00:00Z,"Daily Steals
Pulse oximeters are still hot commodities these days, months after they became associated with detecting COVID-19 and started appearing in smartwatches and fitness bands like the Apple … [+1894 chars]",,CNET
12,Reuters Staff,Apple CEO Tim Cook to speak at U.N. summit on anniversary of Paris climate accords - Reuters Canada,"Apple Inc Chief Executive Officer Tim Cook plans to deliver remarks at the United Nations' Climate Ambition Summit on Dec. 12, the company confirmed on Wednesday.",https://ca.reuters.com/article/us-apple-climate-idCAKBN28K2OL,https://static.reuters.com/resources/r/?m=02&d=20201210&t=2&i=1544136089&r=LYNXMPEGB91IS&w=800,2020-12-10T17:54:00Z,"By Reuters Staff
FILE PHOTO: Apple's CEO Tim Cook speaks with Singapore Paralympian Theresa Goh (unseen) at the OCBC Aquatic Centre, Singapore Sports Hub December 12, 2019. REUTERS/Edgar Su
(Reuter… [+686 chars]",reuters,Reuters
